"source","medium"
"google","cpc"
"newsletter","email"
"google","organic"
"bing","organic"
"ecosia.org","organic"
"yahoo","organic"
"duckduckgo","organic"
"search.aol.com","organic"
"okeano.com","organic"
"emoji.srchmbl.com","organic"
"qwant.com","organic"
"results.searchlock.com","organic"
"search.nation.com","organic"
"webcrawler.com","organic"
"search.xfinity.com","organic"
"google.com","organic"
"ravelry.com","referral"
"linktr.ee","referral"
"pinterest.com","referral"
"megmadewithlove.com","referral"
"mailchi.mp","referral"
"paypal.com","referral"
"chinabrands.com","referral"
"facebook.com","referral"
"mail.google.com","referral"
"yelp.com","referral"
"knittingparadise.com","referral"
"find.tips.today","referral"
"canary-mg.mail.yahoo.com","referral"
"ampproject.org","referral"
"maps.apple.com","referral"
"direct",NA
"ravelry","social"
"fiberkind.com","referral"
"helpful.tips","referral"
